 Keyword,FileName,Frequency
 god,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1861-Lincoln.txt,1
 god,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1862-Lincoln.txt,1
 god,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1863-Lincoln.txt,1
 god,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1864-Lincoln.txt,1
 god,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1865-Johnson.txt,1
 god,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1867-Johnson.txt,1
 god,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1871-Grant.txt,1
 god,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1885-Cleveland.txt,2
 god,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1888-Cleveland.txt,2
 god,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1897-McKinley.txt,1
 god,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1899-McKinley.txt,1
 god,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1900-McKinley.txt,2
 god,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1901-Roosevelt.txt,1
 god,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1914-Wilson.txt,1
 god,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1917-Wilson.txt,2
 god,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1918-Wilson.txt,2
 god,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1928-Coolidge.txt,1
 god,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1934-FDRoosevelt.txt,1
 god,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1939-FDRoosevelt.txt,3
 god,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1940-FDRoosevelt.txt,2
 god,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1941-FDRoosevelt.txt,3
 god,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1942-FDRoosevelt.txt,3
 god,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1944-FDRoosevelt.txt,1
 god,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1945-FDRoosevelt.txt,1
 god,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1946-Truman.txt,1
 god,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1948-Truman.txt,1
 god,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1949-Truman.txt,1
 god,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1950-Truman.txt,2
 god,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1951-Truman.txt,1
 god,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1952-Truman.txt,1
 god,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1953-Truman.txt,3
 god,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1955-Eisenhower.txt,2
 god,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1958-Eisenhower.txt,1
 god,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1959-Eisenhower.txt,2
 god,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1960-Eisenhower.txt,1
 god,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1961-Kennedy.txt,1
 god,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1962-Kennedy.txt,1
 god,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1963-Kennedy.txt,1
 god,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1965-LBJohnson.txt,2
 god,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1966-LBJohnson.txt,1
 god,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1970-Nixon.txt,1
 god,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1976-Ford.txt,1
 god,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1977-Ford.txt,3
 god,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1982-Reagan.txt,3
 god,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1983-Reagan.txt,2
 god,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1984-Reagan.txt,10
 god,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1985-Reagan.txt,3
